9 0 1
9 0 1
6 0 1
9 0 1
8 0 1
8 0 1
8 0 1
9 0 1
9 0 1
9 0 1
14 0 1
10 0 1
10 0 1
14 0 1
17 0 1
17 0 1
20 0 1
22 0 1
21 0 1
14 0 1
10 0 1
6 0 1
5 0 1
3 0 1
3 0 1
5 0 1
3 0 1
6 0 1
10 0 1
6 0 1
9 0 1
4 0 1
5 0 1
9 0 1
9 0 1
5 0 1
8 0 1
8 0 1
6 0 1
5 0 1
6 1 1
10 1 1
5 0 1
5 0 1
3 0 1
5 0 1
3 0 1
5 0 1
3 0 1
5 0 1
5 0 1
3 0 1
5 0 1
5 0 1
4 0 1
5 0 1
6 1 1
5 0 1
5 0 1
5 0 1
3 0 1
5 0 1
3 0 1
5 0 1
5 0 1
9 0 1
10 0 1
13 0 1
12 0 1
6 0 1
6 0 1
5 0 1
6 0 1
6 0 1
3 0 1
5 0 1
5 0 1
5 0 1
5 0 1
6 0 1
6 0 1
5 0 1
6 0 1
8 0 1
9 0 1
10 0 1
14 0 1
14 0 1
14 0 1
17 0 1
14 0 1
14 1 1
17 0 1
14 0 1
14 0 1
13 0 1
13 0 1
13 0 1
13 0 1
13 0 1
13 0 1
13 0 1
13 0 1
11 0 1
13 0 1
13 0 1
13 0 1
11 0 1
9 0 1
8 0 1
9 0 1
8 0 1
9 0 1
9 0 1
9 0 1
8 0 1
8 0 1
8 0 1
8 0 1
9 0 1
11 0 1
13 0 1
14 0 1
17 0 1
13 0 1
14 0 1
17 0 1
18 0 1
18 0 1
18 0 1
19 0 1
19 0 1
21 0 1
25 0 1
25 0 1
26 0 1
29 0 1
32 0 1
32 0 1
29 1 1
25 0 1
25 0 1
25 0 1
29 0 1
26 0 1
26 0 1
29 0 1
26 0 1
25 0 1
32 0 1
32 0 1
32 0 1
35 0 1
34 1 1
30 0 1
25 0 1
26 0 1
26 0 1
25 0 1
25 0 1
22 0 1
21 1 1
18 0 1
18 0 1
17 0 1
13 0 1
12 0 1
13 0 1
17 0 1
18 0 1
14 0 1
13 0 1
13 0 1
20 0 1
18 0 1
24 0 1
24 0 1
32 0 1
33 0 1
32 0 1
29 0 1
26 0 1
34 0 1
27 0 1
34 0 1
33 0 1
26 0 1
30 1 1
33 0 1
30 0 1
25 0 1
29 0 1
24 0 1
21 0 1
19 0 1
18 0 1
13 0 1
14 1 1
9 0 1
8 0 1
8 0 1
9 0 1
13 0 1
13 0 1
18 0 1
25 0 1
27 0 1
29 1 1
29 1 1
30 0 1
38 0 1
24 0 1
13 0 1
5 0 1
1 0 1
1 0 1
3 1 1
1 0 1
1 0 1
4 0 1
8 0 1
14 0 1
25 0 1
34 0 1
27 0 1
22 0 1
29 0 1
22 0 1
13 0 1
5 0 1
1 0 1
1 0 1
3 0 1
8 1 1
5 1 1
1 1 1
1 1 1
1 0 1
2 0 1
5 1 1
2 1 1
1 1 2
1 0 2
4 1 2
6 1 2
3 0 2
1 0 2
1 1 2
1 1 2
5 1 2
13 0 2
13 0 2
21 1 2
18 1 2
13 0 2
8 0 2
2 0 2
1 0 2
1 1 2
5 0 2
12 0 2
19 0 2
27 0 2
29 0 2
33 0 2
41 1 2
41 0 2
34 0 2
35 1 2
33 0 2
38 0 2
33 1 2
26 1 2
13 0 2
8 0 2
2 0 2
1 0 2
1 0 2
2 0 2
8 0 2
14 1 2
22 0 2
29 0 2
33 0 2
45 1 2
34 1 2
21 0 2
14 0 2
9 0 2
5 1 2
1 0 2
1 0 3
5 0 3
8 0 3
13 0 3
12 0 3
22 0 3
25 0 3
25 1 3
25 0 3
24 0 3
25 1 3
18 0 3
18 0 3
13 0 3
11 0 3
8 0 3
5 0 3
1 0 3
1 0 3
5 0 3
13 0 3
24 0 3
42 1 3
36 0 3
36 0 3
34 1 3
41 0 3
38 0 3
33 0 3
29 0 3
21 1 3
13 0 3
5 0 3
1 0 3
1 0 3
5 0 3
13 0 3
25 0 3
42 1 3
45 0 3
38 0 3
24 0 3
14 0 3
10 0 3
4 0 3
1 1 3
1 1 4
5 0 4
13 0 4
26 0 4
29 1 4
34 1 4
30 0 4
26 0 4
33 0 4
33 1 4
24 0 4
13 0 4
5 0 4
1 0 4
1 0 4
4 0 4
8 0 4
17 0 4
29 0 4
43 0 4
54 1 4
50 1 4
50 1 4
50 0 4
49 1 4
50 1 4
49 1 4
38 0 4
29 0 4
17 0 4
8 0 4
5 0 4
1 0 5
1 0 5
4 0 5
10 0 5
20 0 5
34 0 5
45 1 5
42 0 5
35 0 5
35 0 5
45 1 5
45 1 5
49 0 5
33 0 5
19 0 5
9 0 5
3 0 5
